0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.004,-0.469,-1.715,-0.469,-1.715, 0.016, 0.002, 0.525,0.000,0.000,0.000, 0.484, 0.001, 1.053,-0.021, 0.771, 1.513, 0.016, 0.015, 0.057;
0.015,3.297,0.769,3.297,0.769, 0.016, 0.002, 0.512,0.000,0.000,-1.195, 0.484, 0.010, 1.083,-0.075, 0.731, 1.371, 0.056, 0.054, 0.200;
0.038,3.108,0.643,3.108,0.643, 0.016, 0.002, 0.525,0.000,0.000,0.578, 0.483, 0.028, 1.106,-0.186, 0.811, 1.102, 0.139,-0.027, 0.469;
0.042,3.461,0.054,3.461,0.054, 0.016, 0.002, 0.512,0.000,0.000,-3.608, 0.483, 0.031, 1.125,-0.177, 0.798, 1.069, 0.126,-0.014, 0.502;
0.053,3.417,0.146,3.417,0.146, 0.016, 0.002, 0.525,0.000,0.000,1.206, 0.483, 0.039, 1.129,-0.152, 0.758, 0.971, 0.087, 0.025, 0.600;
0.064,3.351,0.221,3.351,0.221, 0.016, 0.002, 0.512,0.000,0.000,-1.175, 0.482, 0.048, 1.160,-0.126, 0.796, 0.883, 0.047,-0.015, 0.687;
0.086,3.545,0.318,3.545,0.318, 0.016, 0.002, 0.525,0.000,0.000,0.605, 0.480, 0.065, 1.181,-0.076, 0.716, 0.726,-0.030, 0.062, 0.844;
0.098,3.429,0.515,3.429,0.515, 0.016, 0.002, 0.517,0.000,0.000,-0.608, 0.478, 0.075, 1.208,-0.134, 0.758, 0.656, 0.014, 0.018, 0.914;
0.109,3.587,0.231,3.587,0.231, 0.016, 0.002, 0.517,0.000,0.000,0.000, 0.477, 0.083, 1.225,-0.109, 0.717, 0.601,-0.025, 0.057, 0.970;
0.121,3.511,0.349,3.511,0.349, 0.016, 0.004, 0.517,0.000,0.197,0.000, 0.475, 0.090, 1.243,-0.163, 0.674, 0.549, 0.015, 0.097, 1.022;
0.132,3.328,0.178,3.328,0.178, 0.016, 0.004, 0.517,0.000,0.000,0.000, 0.474, 0.099, 1.262,-0.136, 0.713, 0.500,-0.027, 0.056, 1.071;
0.144,3.556,0.218,3.556,0.218, 0.016, 0.004, 0.517,0.000,0.000,0.000, 0.472, 0.108, 1.280,-0.190, 0.750, 0.457, 0.014, 0.016, 1.114;
