0.250,11.989,2.405,6.809,7.586,-0.047,-0.027, 0.059,0.195,0.195,0.000, 0.541, 0.105, 1.827,-0.286, 0.148, 0.961, 0.236, 0.162, 0.296, 0.494, 0.078, 1.885,-0.049, 0.310, 1.257,-0.097,-0.015, 0.000;
0.262,11.359,2.368,6.063,7.664,-0.042,-0.027, 0.073,0.395,0.000,1.296, 0.536, 0.109, 1.826,-0.345, 0.205, 0.901, 0.293, 0.105, 0.355, 0.493, 0.082, 1.900,-0.051, 0.310, 1.257,-0.097,-0.016, 0.000;
0.273,11.331,1.693,6.123,6.900,-0.040,-0.025, 0.073,0.198,0.198,0.000, 0.533, 0.110, 1.840,-0.290, 0.148, 0.845, 0.237, 0.162, 0.412, 0.493, 0.085, 1.914,-0.054, 0.310, 1.257,-0.097,-0.017, 0.000;
0.284,11.159,2.347,6.005,7.500,-0.036,-0.025, 0.088,0.397,0.000,1.300, 0.528, 0.113, 1.840,-0.349, 0.204, 0.786, 0.293, 0.105, 0.470, 0.492, 0.089, 1.928,-0.056, 0.309, 1.257,-0.097,-0.018, 0.000;
0.295,11.134,1.685,6.068,6.751,-0.031,-0.022, 0.089,0.411,0.206,0.120, 0.523, 0.114, 1.852,-0.406, 0.149, 0.732, 0.348, 0.159, 0.525, 0.491, 0.092, 1.941,-0.058, 0.309, 1.257,-0.097,-0.018, 0.000;
0.306,10.435,1.659,5.424,6.670,-0.029,-0.022, 0.103,0.203,0.000,1.204, 0.520, 0.118, 1.853,-0.353, 0.205, 0.675, 0.293, 0.104, 0.582, 0.491, 0.096, 1.955,-0.060, 0.308, 1.257,-0.097,-0.019, 0.000;
0.317,10.961,1.654,6.033,6.583,-0.025,-0.020, 0.103,0.407,0.204,0.000, 0.515, 0.119, 1.867,-0.410, 0.149, 0.730, 0.348, 0.159, 0.526, 0.490, 0.099, 1.969,-0.062, 0.308, 1.257,-0.097,-0.020, 0.000;
0.328,10.337,1.544,5.297,6.584,-0.020,-0.020, 0.117,0.405,0.000,1.319, 0.510, 0.122, 1.866,-0.467, 0.204, 0.674, 0.403, 0.103, 0.583, 0.489, 0.102, 1.983,-0.064, 0.308, 1.257,-0.097,-0.020, 0.000;
0.349,10.287,0.998,5.333,5.952,-0.016,-0.018, 0.132,0.212,0.106,0.686, 0.504, 0.127, 1.878,-0.366, 0.097, 0.563, 0.297, 0.209, 0.694, 0.488, 0.109, 2.009,-0.068, 0.307, 1.257,-0.096,-0.021, 0.000;
0.360,9.983,2.070,5.168,6.886,-0.011,-0.018, 0.146,0.395,0.000,1.276, 0.498, 0.130, 1.878,-0.311, 0.154, 0.506, 0.240, 0.152, 0.751, 0.487, 0.112, 2.024,-0.071, 0.306, 1.257,-0.096,-0.022, 0.000;
0.372,10.499,2.051,5.769,6.781,-0.007,-0.016, 0.146,0.400,0.200,0.000, 0.493, 0.131, 1.892,-0.369, 0.210, 0.564, 0.296, 0.096, 0.693, 0.486, 0.116, 2.038,-0.073, 0.306, 1.257,-0.096,-0.023, 0.000;
0.383,10.579,1.311,5.733,6.157,-0.002,-0.013, 0.146,0.391,0.196,0.000, 0.488, 0.133, 1.906,-0.428, 0.152, 0.623, 0.353, 0.153, 0.633, 0.486, 0.119, 2.052,-0.075, 0.305, 1.257,-0.096,-0.024, 0.000;
0.394,9.950,1.157,4.985,6.122, 0.002,-0.013, 0.160,0.400,0.000,1.288, 0.483, 0.136, 1.906,-0.486, 0.208, 0.567, 0.409, 0.097, 0.689, 0.485, 0.123, 2.066,-0.077, 0.305, 1.257,-0.096,-0.024, 0.000;
0.405,10.016,0.398,5.135,5.279, 0.009,-0.011, 0.148,0.611,0.204,-1.115, 0.475, 0.137, 1.932,-0.544, 0.152, 0.627, 0.464, 0.152, 0.630, 0.484, 0.126, 2.080,-0.079, 0.304, 1.257,-0.096,-0.025, 0.000;
0.416,9.402,0.189,4.379,5.213, 0.013,-0.011, 0.163,0.406,0.000,1.326, 0.470, 0.140, 1.931,-0.491, 0.207, 0.683, 0.409, 0.097, 0.574, 0.483, 0.129, 2.094,-0.081, 0.303, 1.257,-0.095,-0.026, 0.000;
0.427,9.977,0.093,4.872,5.198, 0.018,-0.009, 0.163,0.409,0.204,0.000, 0.464, 0.141, 1.945,-0.547, 0.152, 0.739, 0.464, 0.151, 0.518, 0.482, 0.133, 2.107,-0.083, 0.303, 1.257,-0.095,-0.026, 0.000;
0.438,9.386,-0.071,4.168,5.147, 0.025,-0.009, 0.177,0.609,0.000,1.320, 0.457, 0.145, 1.944,-0.605, 0.206, 0.683, 0.519, 0.096, 0.574, 0.481, 0.136, 2.121,-0.085, 0.302, 1.257,-0.095,-0.027, 0.000;
0.459,9.394,-0.769,4.261,4.365, 0.029,-0.007, 0.177,0.211,0.105,0.000, 0.450, 0.149, 1.971,-0.502, 0.099, 0.791, 0.413, 0.202, 0.466, 0.479, 0.142, 2.148,-0.089, 0.301, 1.257,-0.095,-0.028, 0.000;
0.471,9.276,0.025,3.927,5.375, 0.036,-0.004, 0.180,0.576,0.192,0.226, 0.443, 0.150, 1.983,-0.446, 0.157, 0.850, 0.355, 0.144, 0.406, 0.478, 0.146, 2.162,-0.092, 0.301, 1.257,-0.094,-0.029, 0.000;
0.482,9.803,-0.005,4.339,5.459, 0.040,-0.004, 0.192,0.394,0.000,1.042, 0.437, 0.154, 1.985,-0.505, 0.213, 0.793, 0.411, 0.087, 0.464, 0.477, 0.149, 2.177,-0.094, 0.300, 1.257,-0.094,-0.029, 0.000;
0.494,9.879,-0.767,4.496,4.617, 0.047,-0.002, 0.180,0.565,0.188,-0.996, 0.429, 0.155, 2.012,-0.567, 0.153, 0.856, 0.471, 0.146, 0.401, 0.476, 0.153, 2.191,-0.096, 0.299, 1.257,-0.094,-0.030, 0.000;
0.506,9.270,-1.116,3.737,4.418, 0.051,-0.000, 0.180,0.381,0.191,0.000, 0.424, 0.156, 2.026,-0.510, 0.094, 0.918, 0.412, 0.205, 0.339, 0.475, 0.156, 2.206,-0.098, 0.298, 1.257,-0.094,-0.031, 0.000;
0.517,9.134,-0.620,3.477,5.036, 0.058,-0.000, 0.194,0.569,0.000,1.243, 0.416, 0.160, 2.026,-0.572, 0.152, 0.858, 0.471, 0.145, 0.399, 0.474, 0.160, 2.221,-0.100, 0.298, 1.257,-0.094,-0.032, 0.000;
0.530,9.161,-1.362,3.593,4.206, 0.065, 0.002, 0.194,0.552,0.184,0.000, 0.408, 0.161, 2.042,-0.635, 0.091, 0.920, 0.532, 0.206, 0.337, 0.473, 0.163, 2.236,-0.103, 0.297, 1.257,-0.093,-0.032, 0.000;
0.541,8.546,-1.797,2.853,3.895, 0.069, 0.004, 0.180,0.383,0.192,-1.256, 0.402, 0.162, 2.071,-0.578, 0.148, 0.983, 0.474, 0.148, 0.274, 0.471, 0.167, 2.251,-0.105, 0.296, 1.257,-0.093,-0.033, 0.000;
0.553,9.131,-1.800,3.284,4.048, 0.076, 0.004, 0.194,0.582,0.000,1.272, 0.394, 0.166, 2.071,-0.638, 0.206, 1.040, 0.531, 0.090, 0.216, 0.470, 0.170, 2.265,-0.107, 0.295, 1.257,-0.093,-0.034, 0.000;
0.564,9.241,-2.612,3.308,3.320, 0.083, 0.007, 0.194,0.581,0.194,0.000, 0.386, 0.167, 2.085,-0.698, 0.147, 1.098, 0.589, 0.148, 0.158, 0.469, 0.174, 2.280,-0.109, 0.295, 1.257,-0.093,-0.034, 0.000;
0.575,8.632,-2.933,2.583,3.117, 0.089, 0.009, 0.197,0.610,0.203,0.265, 0.378, 0.168, 2.096,-0.645, 0.091, 1.043, 0.534, 0.203, 0.213, 0.468, 0.177, 2.294,-0.111, 0.294, 1.257,-0.092,-0.035, 0.000;
0.586,8.397,-2.454,2.406,3.537, 0.094, 0.009, 0.209,0.395,0.000,1.028, 0.373, 0.171, 2.099,-0.590, 0.147, 0.985, 0.477, 0.146, 0.272, 0.466, 0.180, 2.308,-0.113, 0.293, 1.257,-0.092,-0.036, 0.000;
0.598,8.910,-2.532,3.001,3.378, 0.100, 0.011, 0.194,0.567,0.189,-1.232, 0.365, 0.172, 2.128,-0.652, 0.087, 1.047, 0.537, 0.205, 0.210, 0.465, 0.184, 2.323,-0.115, 0.292, 1.257,-0.092,-0.036, 0.000;
0.610,8.306,-2.879,2.242,3.185, 0.107, 0.013, 0.197,0.592,0.197,0.258, 0.357, 0.173, 2.139,-0.711, 0.143, 1.105, 0.593, 0.148, 0.152, 0.464, 0.187, 2.337,-0.117, 0.291, 1.257,-0.092,-0.037, 0.000;
0.632,8.383,-3.664,2.209,2.510, 0.114, 0.016, 0.197,0.302,0.101,0.000, 0.347, 0.178, 2.167,-0.604, 0.030, 1.218, 0.482, 0.259, 0.039, 0.461, 0.193, 2.365,-0.121, 0.290, 1.257,-0.091,-0.038, 0.000;
0.636,8.205,-2.831,1.805,3.570, 0.121, 0.016, 0.212,1.779,0.000,3.918, 0.340, 0.179, 2.157,-0.585, 0.049, 1.198, 0.463, 0.240, 0.059, 0.461, 0.194, 2.369,-0.122, 0.289, 1.257,-0.091,-0.038, 0.000;
0.647,8.303,-2.908,1.953,3.441, 0.127, 0.018, 0.212,0.580,0.193,0.000, 0.332, 0.180, 2.172,-0.645, 0.107, 1.137, 0.521, 0.182, 0.119, 0.459, 0.198, 2.384,-0.124, 0.289, 1.257,-0.091,-0.039, 0.000;
0.659,8.304,-3.702,2.013,2.589, 0.132, 0.020, 0.197,0.386,0.193,-1.276, 0.326, 0.181, 2.201,-0.589, 0.164, 1.198, 0.463, 0.124, 0.059, 0.458, 0.201, 2.398,-0.126, 0.288, 1.257,-0.090,-0.040, 0.000;
0.680,8.900,-3.703,2.458,2.739, 0.138, 0.020, 0.212,0.307,0.000,0.677, 0.317, 0.187, 2.214,-0.703, 0.272, 1.084, 0.572, 0.014, 0.172, 0.455, 0.207, 2.426,-0.130, 0.286, 1.257,-0.090,-0.041, 0.000;
0.693,9.040,-4.986,2.739,1.315, 0.145, 0.022, 0.212,0.542,0.181,0.000, 0.308, 0.189, 2.229,-0.641, 0.208, 1.147, 0.509, 0.077, 0.110, 0.453, 0.211, 2.441,-0.132, 0.285, 1.257,-0.089,-0.042, 0.000;
0.696,8.884,-4.597,2.458,1.830, 0.152, 0.025, 0.212,2.404,0.801,0.000, 0.301, 0.187, 2.233,-0.628, 0.194, 1.161, 0.495, 0.091, 0.096, 0.453, 0.212, 2.445,-0.133, 0.285, 1.257,-0.089,-0.042, 0.000;
0.718,8.734,-4.665,2.280,1.790, 0.158, 0.027, 0.197,0.305,0.102,-0.671, 0.292, 0.191, 2.275,-0.744, 0.081, 1.278, 0.607, 0.202,-0.021, 0.450, 0.218, 2.473,-0.137, 0.283, 1.257,-0.089,-0.043, 0.000;
0.721,7.715,-5.182,0.997,1.537, 0.165, 0.027, 0.215,1.713,0.000,4.595, 0.284, 0.192, 2.262,-0.724, 0.100, 1.257, 0.587, 0.182,-0.001, 0.449, 0.219, 2.477,-0.138, 0.282, 1.257,-0.089,-0.043, 0.000;
0.742,7.809,-5.268,1.149,1.392, 0.170, 0.029, 0.212,0.218,0.109,-0.157, 0.277, 0.196, 2.291,-0.624, 0.202, 1.151, 0.483, 0.079, 0.105, 0.447, 0.225, 2.503,-0.141, 0.281, 1.257,-0.088,-0.044, 0.000;
0.754,8.745,-5.184,2.181,1.380, 0.176, 0.031, 0.212,0.565,0.188,0.000, 0.269, 0.197, 2.306,-0.566, 0.141, 1.211, 0.423, 0.138, 0.046, 0.445, 0.228, 2.518,-0.143, 0.280, 1.257,-0.088,-0.045, 0.000;
0.766,8.563,-4.899,1.879,1.785, 0.183, 0.033, 0.197,0.537,0.179,-1.184, 0.260, 0.198, 2.336,-0.631, 0.078, 1.277, 0.486, 0.201,-0.020, 0.443, 0.232, 2.534,-0.145, 0.278, 1.257,-0.087,-0.046, 0.000;
0.770,7.957,-5.201,1.110,1.645, 0.190, 0.033, 0.215,2.036,0.000,5.462, 0.253, 0.199, 2.323,-0.648, 0.094, 1.260, 0.502, 0.184,-0.003, 0.443, 0.232, 2.538,-0.146, 0.278, 1.257,-0.087,-0.046, 0.000;
0.781,7.895,-5.481,1.103,1.311, 0.196, 0.036, 0.215,0.577,0.192,0.000, 0.245, 0.200, 2.337,-0.709, 0.151, 1.200, 0.561, 0.126, 0.057, 0.441, 0.236, 2.552,-0.148, 0.277, 1.257,-0.087,-0.047, 0.000;
0.803,7.892,-6.208,1.159,0.525, 0.203, 0.038, 0.215,0.307,0.102,0.000, 0.235, 0.204, 2.364,-0.823, 0.040, 1.090, 0.671, 0.235, 0.167, 0.438, 0.242, 2.580,-0.152, 0.275, 1.257,-0.086,-0.048, 0.000;
0.806,6.676,-6.637,0.047,-0.009, 0.210, 0.040, 0.215,2.197,0.732,0.000, 0.227, 0.202, 2.368,-0.808, 0.055, 1.105, 0.655, 0.220, 0.151, 0.437, 0.243, 2.584,-0.152, 0.275, 1.257,-0.086,-0.048, 0.000;
