t, u1,u2,u3,u4,x,y,theta,xp,yp,thetap,xt,yt,thetat,xtp,ytp,theatp,xgp,ygp,thetagp,xd,yd,thetad,xpd,ypd,thetaph,xppd,yppd,thetappd;
0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.003,-0.102,-0.099,-0.102,-0.099, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.048, 1.588,-0.057, 0.352, 0.662, 0.056,-0.038,-0.034, 0.500, 0.001, 1.573,-0.001, 0.314, 0.628,-0.099,-0.000, 0.000;
0.015,16.597,2.602,10.847,8.352, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.052, 1.595,-0.258, 0.490, 0.786, 0.255,-0.176,-0.158, 0.500, 0.005, 1.580,-0.003, 0.314, 0.628,-0.099,-0.001, 0.000;
0.026,16.293,0.003,10.388,5.908, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.055, 1.602,-0.421, 0.607, 0.897, 0.416,-0.293,-0.269, 0.500, 0.008, 1.587,-0.005, 0.314, 0.628,-0.099,-0.002, 0.000;
0.047,16.107,-2.167,10.063,3.877, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.062, 1.616,-0.708, 0.826, 1.111, 0.699,-0.512,-0.482, 0.500, 0.015, 1.600,-0.009, 0.314, 0.628,-0.099,-0.003, 0.000;
0.058,15.896,-6.117,9.582,0.196, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.065, 1.623,-0.832, 0.707, 0.995, 0.820,-0.393,-0.366, 0.500, 0.018, 1.608,-0.012, 0.314, 0.628,-0.099,-0.004, 0.000;
0.070,14.217,-6.180,8.004,0.033, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.069, 1.630,-0.719, 0.589, 0.878, 0.705,-0.275,-0.250, 0.500, 0.022, 1.615,-0.014, 0.314, 0.628,-0.099,-0.004, 0.000;
0.081,14.258,-4.603,8.146,1.509, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.072, 1.637,-0.602, 0.471, 0.759, 0.586,-0.157,-0.131, 0.499, 0.026, 1.622,-0.016, 0.314, 0.628,-0.099,-0.005, 0.000;
0.092,14.327,-2.992,8.318,3.017, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.076, 1.644,-0.491, 0.361, 0.647, 0.473,-0.047,-0.019, 0.499, 0.029, 1.629,-0.018, 0.314, 0.628,-0.099,-0.006, 0.000;
0.103,14.403,-1.479,8.490,4.434, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.079, 1.651,-0.380, 0.471, 0.536, 0.360,-0.157, 0.092, 0.499, 0.032, 1.636,-0.020, 0.313, 0.628,-0.098,-0.006, 0.000;
0.114,16.029,-1.563,10.212,4.254, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.331, 0.083, 1.658,-0.270, 0.359, 0.647, 0.247,-0.046,-0.019, 0.499, 0.036, 1.643,-0.023, 0.313, 0.628,-0.098,-0.007, 0.000;
0.126,16.212,-0.162,10.255,5.794, 0.170,-0.047,-0.015,0.199,0.000,0.000, 0.329, 0.086, 1.665,-0.160, 0.471, 0.759, 0.135,-0.158,-0.131, 0.498, 0.039, 1.650,-0.025, 0.313, 0.628,-0.098,-0.008, 0.000;
0.137,17.893,-0.454,11.795,5.643, 0.170,-0.047,-0.015,0.000,0.000,0.000, 0.329, 0.090, 1.672,-0.047, 0.357, 0.645, 0.020,-0.044,-0.017, 0.498, 0.043, 1.657,-0.027, 0.313, 0.628,-0.098,-0.008, 0.000;
0.148,17.884,1.323,11.885,7.322, 0.172,-0.047, 0.000,0.199,0.000,1.352, 0.326, 0.093, 1.664,-0.163, 0.469, 0.526, 0.134,-0.156, 0.103, 0.498, 0.047, 1.664,-0.029, 0.313, 0.628,-0.098,-0.009, 0.000;
0.170,17.811,-0.408,11.964,5.440, 0.174,-0.047, 0.000,0.103,0.000,0.000, 0.323, 0.100, 1.678,-0.384, 0.250, 0.301, 0.350, 0.062, 0.327, 0.497, 0.053, 1.678,-0.033, 0.312, 0.628,-0.098,-0.011, 0.000;
0.182,14.696,-0.623,9.044,5.030, 0.174,-0.047, 0.000,0.000,0.000,0.000, 0.323, 0.104, 1.685,-0.268, 0.367, 0.419, 0.232,-0.055, 0.209, 0.497, 0.057, 1.685,-0.036, 0.312, 0.628,-0.098,-0.011, 0.000;
0.193,16.530,-0.828,10.729,4.973, 0.176,-0.045, 0.000,0.187,0.187,0.000, 0.320, 0.105, 1.692,-0.390, 0.246, 0.540, 0.351, 0.066, 0.088, 0.496, 0.061, 1.692,-0.038, 0.312, 0.628,-0.098,-0.012, 0.000;
0.205,14.839,-1.032,8.886,4.921, 0.179,-0.045, 0.000,0.200,0.000,0.000, 0.317, 0.109, 1.699,-0.279, 0.358, 0.653, 0.239,-0.047,-0.025, 0.496, 0.064, 1.699,-0.040, 0.312, 0.628,-0.098,-0.013, 0.000;
0.217,16.493,-1.101,10.398,4.994, 0.181,-0.045, 0.015,0.181,0.000,1.225, 0.315, 0.113, 1.692,-0.405, 0.234, 0.522, 0.363, 0.078, 0.106, 0.495, 0.068, 1.707,-0.043, 0.311, 0.628,-0.098,-0.013, 0.000;
0.227,14.634,-1.087,8.701,4.846, 0.183,-0.045, 0.030,0.226,0.000,1.489, 0.312, 0.116, 1.684,-0.308, 0.333, 0.415, 0.263,-0.022, 0.213, 0.495, 0.071, 1.713,-0.045, 0.311, 0.628,-0.098,-0.014, 0.000;
0.238,16.006,-1.352,10.214,4.440, 0.187,-0.042, 0.015,0.407,0.204,-1.341, 0.307, 0.117, 1.705,-0.421, 0.221, 0.525, 0.374, 0.089, 0.103, 0.494, 0.074, 1.720,-0.047, 0.311, 0.628,-0.098,-0.015, 0.000;
0.249,14.367,-1.496,8.390,4.481, 0.190,-0.042, 0.030,0.193,0.000,1.312, 0.304, 0.120, 1.697,-0.306, 0.337, 0.403, 0.257,-0.027, 0.225, 0.494, 0.078, 1.727,-0.049, 0.310, 0.628,-0.097,-0.015, 0.000;
0.260,15.961,-1.573,10.138,4.250, 0.192,-0.040, 0.030,0.203,0.203,0.000, 0.301, 0.122, 1.704,-0.419, 0.225, 0.291, 0.368, 0.085, 0.338, 0.493, 0.081, 1.734,-0.051, 0.310, 0.628,-0.097,-0.016, 0.000;
0.271,14.248,-1.525,8.522,4.201, 0.196,-0.040, 0.045,0.409,0.000,1.387, 0.296, 0.125, 1.696,-0.530, 0.335, 0.176, 0.477,-0.025, 0.453, 0.493, 0.085, 1.741,-0.053, 0.310, 0.628,-0.097,-0.017, 0.000;
0.292,14.195,-3.112,8.618,2.465, 0.199,-0.040, 0.061,0.105,0.000,0.714, 0.293, 0.132, 1.694,-0.320, 0.121,-0.052, 0.262, 0.188, 0.681, 0.492, 0.091, 1.755,-0.057, 0.309, 0.628,-0.097,-0.018, 0.000;
0.304,13.981,-0.258,8.651,5.072, 0.203,-0.038, 0.061,0.381,0.190,0.079, 0.288, 0.133, 1.700,-0.440, 0.239, 0.067, 0.380, 0.070, 0.561, 0.491, 0.095, 1.762,-0.060, 0.308, 0.628,-0.097,-0.019, 0.000;
0.316,14.030,-2.069,8.553,3.408, 0.205,-0.038, 0.076,0.187,0.000,1.187, 0.285, 0.137, 1.694,-0.321, 0.358,-0.055, 0.259,-0.050, 0.683, 0.490, 0.099, 1.769,-0.062, 0.308, 0.628,-0.097,-0.019, 0.000;
0.327,15.667,-1.874,10.340,3.453, 0.208,-0.036, 0.091,0.198,0.198,1.335, 0.282, 0.138, 1.686,-0.211, 0.244,-0.172, 0.147, 0.064, 0.800, 0.489, 0.102, 1.777,-0.064, 0.308, 0.628,-0.097,-0.020, 0.000;
0.339,15.381,-0.336,10.204,4.841, 0.212,-0.033, 0.091,0.381,0.190,0.000, 0.277, 0.139, 1.693,-0.331, 0.126,-0.053, 0.265, 0.182, 0.681, 0.489, 0.106, 1.784,-0.066, 0.307, 0.628,-0.096,-0.021, 0.000;
0.351,13.635,-0.628,8.308,4.699, 0.214,-0.033, 0.106,0.190,0.000,1.275, 0.274, 0.143, 1.686,-0.215, 0.244,-0.173, 0.146, 0.063, 0.802, 0.488, 0.109, 1.791,-0.069, 0.307, 0.628,-0.096,-0.022, 0.000;
0.362,15.228,-0.378,10.053,4.798, 0.219,-0.033, 0.122,0.392,0.000,1.474, 0.268, 0.146, 1.676,-0.333, 0.129,-0.292, 0.262, 0.177, 0.920, 0.487, 0.113, 1.798,-0.071, 0.306, 0.628,-0.096,-0.022, 0.000;
0.374,13.490,-0.816,8.471,4.203, 0.221,-0.031, 0.121,0.187,0.187,-0.154, 0.265, 0.148, 1.685,-0.215, 0.009,-0.169, 0.142, 0.297, 0.797, 0.486, 0.116, 1.806,-0.073, 0.306, 0.628,-0.096,-0.023, 0.000;
0.387,13.306,0.667,8.128,5.846, 0.225,-0.029, 0.122,0.363,0.182,0.150, 0.260, 0.149, 1.691,-0.342, 0.132,-0.041, 0.266, 0.173, 0.669, 0.485, 0.120, 1.814,-0.076, 0.305, 0.628,-0.096,-0.024, 0.000;
0.398,13.463,-1.242,8.129,4.091, 0.230,-0.029, 0.138,0.374,0.000,1.266, 0.255, 0.153, 1.684,-0.464, 0.251,-0.160, 0.386, 0.053, 0.789, 0.484, 0.124, 1.821,-0.078, 0.304, 0.628,-0.096,-0.024, 0.000;
0.411,13.590,-3.154,8.408,2.028, 0.232,-0.027, 0.138,0.178,0.178,0.000, 0.251, 0.154, 1.691,-0.340, 0.125,-0.031, 0.259, 0.179, 0.659, 0.483, 0.128, 1.829,-0.080, 0.304, 0.628,-0.095,-0.025, 0.000;
0.423,13.358,-1.456,8.013,3.889, 0.237,-0.027, 0.153,0.372,0.000,1.255, 0.246, 0.158, 1.684,-0.463, 0.246,-0.152, 0.381, 0.058, 0.780, 0.482, 0.131, 1.837,-0.083, 0.303, 0.628,-0.095,-0.026, 0.000;
0.436,13.519,-3.362,8.326,1.831, 0.241,-0.025, 0.155,0.351,0.175,0.184, 0.240, 0.160, 1.690,-0.338, 0.116,-0.022, 0.253, 0.186, 0.650, 0.481, 0.135, 1.845,-0.085, 0.302, 0.628,-0.095,-0.027, 0.000;
0.449,13.194,-1.750,7.845,3.599, 0.243,-0.025, 0.168,0.172,0.000,0.975, 0.237, 0.164, 1.685,-0.210, 0.247,-0.152, 0.123, 0.055, 0.780, 0.480, 0.139, 1.853,-0.087, 0.302, 0.628,-0.095,-0.027, 0.000;
0.461,14.971,-1.385,9.775,3.811, 0.248,-0.022, 0.185,0.367,0.184,1.457, 0.231, 0.165, 1.675,-0.335, 0.124,-0.278, 0.246, 0.177, 0.906, 0.479, 0.143, 1.860,-0.090, 0.301, 0.628,-0.095,-0.028, 0.000;
0.473,13.063,-1.874,8.032,3.157, 0.252,-0.020, 0.185,0.358,0.179,0.000, 0.226, 0.167, 1.683,-0.463, 0.248,-0.150, 0.371, 0.052, 0.778, 0.478, 0.147, 1.868,-0.092, 0.300, 0.628,-0.094,-0.029, 0.000;
0.485,13.389,-3.795,8.197,1.397, 0.254,-0.020, 0.200,0.186,0.000,1.252, 0.222, 0.170, 1.675,-0.343, 0.367,-0.271, 0.249,-0.068, 0.899, 0.477, 0.150, 1.876,-0.094, 0.300, 0.628,-0.094,-0.030, 0.000;
0.497,15.031,-3.588,9.992,1.451, 0.259,-0.018, 0.200,0.369,0.185,0.000, 0.217, 0.172, 1.683,-0.468, 0.244,-0.145, 0.371, 0.054, 0.773, 0.476, 0.154, 1.883,-0.097, 0.299, 0.628,-0.094,-0.030, 0.000;
0.509,13.327,-4.067,8.130,1.130, 0.263,-0.018, 0.219,0.378,0.000,1.547, 0.211, 0.175, 1.672,-0.352, 0.363,-0.265, 0.253,-0.064, 0.893, 0.475, 0.157, 1.891,-0.099, 0.298, 0.628,-0.094,-0.031, 0.000;
0.521,14.879,-3.922,9.844,1.114, 0.268,-0.016, 0.219,0.384,0.192,0.000, 0.206, 0.176, 1.679,-0.471, 0.244,-0.144, 0.370, 0.054, 0.773, 0.473, 0.161, 1.898,-0.101, 0.297, 0.628,-0.093,-0.032, 0.000;
0.533,13.213,-4.602,8.027,0.584, 0.270,-0.013, 0.219,0.188,0.188,0.000, 0.202, 0.178, 1.687,-0.353, 0.124,-0.019, 0.250, 0.173, 0.647, 0.472, 0.164, 1.906,-0.103, 0.297, 0.628,-0.093,-0.032, 0.000;
0.544,12.875,-3.181,7.532,2.162, 0.275,-0.011, 0.219,0.388,0.194,0.000, 0.197, 0.179, 1.694,-0.471, 0.238, 0.104, 0.366, 0.058, 0.525, 0.471, 0.168, 1.913,-0.105, 0.296, 0.628,-0.093,-0.033, 0.000;
0.556,13.230,-4.958,7.735,0.537, 0.279,-0.011, 0.234,0.391,0.000,1.321, 0.191, 0.182, 1.686,-0.359, 0.352, 0.218, 0.251,-0.057, 0.410, 0.470, 0.171, 1.920,-0.107, 0.295, 0.628,-0.093,-0.034, 0.000;
0.567,14.881,-4.700,9.289,0.891, 0.283,-0.009, 0.253,0.387,0.193,1.629, 0.185, 0.183, 1.675,-0.477, 0.234, 0.096, 0.368, 0.060, 0.532, 0.469, 0.174, 1.927,-0.110, 0.294, 0.628,-0.092,-0.034, 0.000;
0.579,13.113,-5.167,7.687,0.259, 0.286,-0.009, 0.264,0.191,0.000,0.940, 0.182, 0.187, 1.671,-0.361, 0.351,-0.027, 0.249,-0.058, 0.655, 0.467, 0.178, 1.935,-0.112, 0.294, 0.628,-0.092,-0.035, 0.000;
0.591,14.711,-4.824,9.428,0.460, 0.290,-0.007, 0.268,0.384,0.192,0.349, 0.176, 0.188, 1.674,-0.480, 0.233,-0.145, 0.366, 0.060, 0.773, 0.466, 0.181, 1.942,-0.114, 0.293, 0.628,-0.092,-0.036, 0.000;
0.602,12.938,-5.462,7.769,-0.293, 0.295,-0.004, 0.268,0.397,0.199,0.000, 0.170, 0.189, 1.681,-0.370, 0.119,-0.029, 0.254, 0.173, 0.658, 0.465, 0.185, 1.949,-0.116, 0.292, 0.628,-0.092,-0.036, 0.000;
0.614,12.476,-4.276,7.162,1.038, 0.297,-0.002, 0.264,0.189,0.189,-0.343, 0.166, 0.190, 1.693,-0.254, 0.236, 0.096, 0.135, 0.055, 0.532, 0.463, 0.188, 1.956,-0.118, 0.291, 0.628,-0.091,-0.037, 0.000;
0.636,14.143,-4.049,8.660,1.434, 0.301,-0.000, 0.268,0.202,0.101,0.183, 0.159, 0.194, 1.703,-0.481, 0.012, 0.327, 0.359, 0.277, 0.301, 0.461, 0.194, 1.970,-0.122, 0.289, 0.628,-0.091,-0.038, 0.000;
0.639,11.258,-5.172,5.498,0.588, 0.306,-0.000, 0.297,1.173,0.000,7.816, 0.154, 0.196, 1.675,-0.443, 0.051, 0.286, 0.320, 0.238, 0.342, 0.460, 0.196, 1.973,-0.123, 0.289, 0.628,-0.091,-0.039, 0.000;
0.650,11.671,-5.120,6.042,0.510, 0.310, 0.002, 0.302,0.418,0.209,0.430, 0.149, 0.196, 1.677,-0.552, 0.158, 0.171, 0.427, 0.130, 0.457, 0.459, 0.199, 1.979,-0.125, 0.288, 0.628,-0.091,-0.039, 0.000;
0.672,11.975,-6.772,6.461,-1.258, 0.315, 0.004, 0.302,0.203,0.101,0.000, 0.141, 0.200, 1.691,-0.776,-0.065,-0.056, 0.647, 0.351, 0.684, 0.456, 0.205, 1.993,-0.129, 0.287, 0.628,-0.090,-0.040, 0.000;
0.675,8.821,-8.017,3.504,-2.700, 0.317, 0.007, 0.297,0.733,0.733,-1.505, 0.139, 0.199, 1.698,-0.745,-0.034,-0.023, 0.615, 0.320, 0.652, 0.456, 0.206, 1.995,-0.129, 0.286, 0.628,-0.090,-0.041, 0.000;
0.686,9.190,-7.957,3.817,-2.585, 0.321, 0.009, 0.302,0.403,0.202,0.414, 0.133, 0.200, 1.700,-0.634, 0.077, 0.093, 0.503, 0.208, 0.536, 0.454, 0.209, 2.002,-0.131, 0.285, 0.628,-0.090,-0.041, 0.000;
0.708,10.679,-7.800,5.176,-2.297, 0.326, 0.011, 0.302,0.204,0.102,0.000, 0.125, 0.204, 1.714,-0.419,-0.144, 0.323, 0.284, 0.428, 0.305, 0.451, 0.215, 2.016,-0.135, 0.284, 0.628,-0.089,-0.042, 0.000;
0.720,9.862,-5.344,4.072,0.446, 0.330, 0.013, 0.302,0.382,0.191,0.000, 0.119, 0.205, 1.721,-0.303,-0.025, 0.446, 0.165, 0.308, 0.183, 0.450, 0.219, 2.023,-0.137, 0.283, 0.628,-0.089,-0.043, 0.000;
0.732,11.463,-5.194,5.519,0.751, 0.335, 0.016, 0.302,0.377,0.188,0.000, 0.113, 0.206, 1.729,-0.425, 0.093, 0.569, 0.286, 0.189, 0.060, 0.448, 0.222, 2.031,-0.139, 0.282, 0.628,-0.088,-0.044, 0.000;
0.744,12.022,-6.995,5.924,-0.897, 0.339, 0.018, 0.322,0.360,0.180,1.599, 0.107, 0.207, 1.717,-0.551,-0.032, 0.438, 0.410, 0.313, 0.191, 0.446, 0.225, 2.038,-0.142, 0.280, 0.628,-0.088,-0.044, 0.000;
0.757,10.161,-7.743,4.240,-1.821, 0.344, 0.020, 0.322,0.336,0.168,0.000, 0.101, 0.209, 1.725,-0.420, 0.101, 0.302, 0.276, 0.179, 0.327, 0.444, 0.229, 2.047,-0.144, 0.279, 0.628,-0.088,-0.045, 0.000;
0.769,11.826,-7.376,6.022,-1.572, 0.348, 0.022, 0.322,0.387,0.194,0.000, 0.095, 0.210, 1.732,-0.538,-0.016, 0.418, 0.392, 0.294, 0.211, 0.443, 0.232, 2.054,-0.146, 0.278, 0.628,-0.087,-0.046, 0.000;
0.780,10.234,-8.240,4.284,-2.290, 0.350, 0.025, 0.322,0.194,0.194,0.000, 0.091, 0.211, 1.739,-0.423, 0.099, 0.534, 0.276, 0.178, 0.094, 0.441, 0.235, 2.061,-0.148, 0.277, 0.628,-0.087,-0.046, 0.000;
0.792,11.893,-7.837,5.797,-1.741, 0.355, 0.027, 0.337,0.381,0.190,1.273, 0.084, 0.212, 1.732,-0.544,-0.020, 0.411, 0.394, 0.296, 0.217, 0.439, 0.239, 2.069,-0.150, 0.276, 0.628,-0.087,-0.047, 0.000;
0.804,10.132,-8.592,4.190,-2.651, 0.359, 0.029, 0.337,0.366,0.183,0.000, 0.078, 0.213, 1.740,-0.423, 0.102, 0.287, 0.271, 0.173, 0.342, 0.437, 0.242, 2.076,-0.152, 0.275, 0.628,-0.086,-0.048, 0.000;
0.817,11.556,-8.373,5.722,-2.539, 0.362, 0.033, 0.322,0.177,0.355,-1.187, 0.074, 0.212, 1.762,-0.300,-0.027, 0.421, 0.145, 0.301, 0.207, 0.436, 0.246, 2.084,-0.154, 0.274, 0.628,-0.086,-0.048, 0.000;
0.829,10.961,-6.883,4.912,-0.834, 0.366, 0.036, 0.327,0.371,0.185,0.422, 0.068, 0.213, 1.765,-0.423, 0.094, 0.545, 0.267, 0.179, 0.083, 0.434, 0.249, 2.092,-0.156, 0.273, 0.628,-0.086,-0.049, 0.000;
0.842,11.573,-8.748,5.384,-2.559, 0.371, 0.038, 0.342,0.350,0.175,1.185, 0.061, 0.214, 1.758,-0.553,-0.036, 0.412, 0.395, 0.307, 0.216, 0.432, 0.252, 2.100,-0.159, 0.271, 0.628,-0.085,-0.050, 0.000;
0.854,9.543,-9.699,3.518,-3.674, 0.373, 0.042, 0.322,0.177,0.355,-1.606, 0.057, 0.213, 1.786,-0.428, 0.089, 0.547, 0.268, 0.181, 0.081, 0.430, 0.256, 2.108,-0.161, 0.270, 0.628,-0.085,-0.050, 0.000;
0.867,11.223,-9.391,4.966,-3.134, 0.375, 0.045, 0.322,0.176,0.176,0.000, 0.053, 0.214, 1.794,-0.304, 0.215, 0.680, 0.141, 0.054,-0.052, 0.428, 0.259, 2.116,-0.163, 0.269, 0.628,-0.084,-0.051, 0.000;
0.880,13.088,-8.907,6.665,-2.483, 0.379, 0.047, 0.342,0.348,0.174,1.575, 0.046, 0.216, 1.782,-0.435, 0.084, 0.544, 0.270, 0.183, 0.084, 0.426, 0.263, 2.124,-0.165, 0.267, 0.628,-0.084,-0.052, 0.000;
0.892,11.060,-9.847,4.819,-3.606, 0.382, 0.051, 0.327,0.186,0.372,-1.261, 0.042, 0.214, 1.804,-0.316,-0.038, 0.668, 0.149, 0.304,-0.040, 0.424, 0.266, 2.131,-0.167, 0.266, 0.628,-0.084,-0.052, 0.000;
0.904,10.355,-8.612,3.910,-2.168, 0.384, 0.056, 0.307,0.182,0.364,-1.641, 0.038, 0.213, 1.832,-0.442,-0.162, 0.803, 0.273, 0.427,-0.175, 0.421, 0.269, 2.139,-0.169, 0.265, 0.628,-0.083,-0.053, 0.000;
0.916,8.765,-9.306,2.089,-2.631, 0.388, 0.058, 0.327,0.374,0.187,1.689, 0.031, 0.214, 1.820,-0.563,-0.042, 0.680, 0.392, 0.306,-0.052, 0.419, 0.272, 2.146,-0.171, 0.264, 0.628,-0.083,-0.054, 0.000;
0.929,9.006,-11.209,2.500,-4.704, 0.391, 0.062, 0.312,0.175,0.350,-1.200, 0.027, 0.213, 1.843,-0.436,-0.172, 0.814, 0.263, 0.434,-0.185, 0.417, 0.275, 2.154,-0.173, 0.262, 0.628,-0.082,-0.054, 0.000;
0.941,8.499,-9.654,1.778,-2.933, 0.393, 0.065, 0.327,0.181,0.181,1.237, 0.022, 0.214, 1.835,-0.315,-0.048, 0.685, 0.140, 0.309,-0.056, 0.415, 0.279, 2.162,-0.175, 0.261, 0.628,-0.082,-0.055, 0.000;
0.954,9.947,-9.319,3.387,-2.759, 0.395, 0.069, 0.312,0.179,0.359,-1.229, 0.018, 0.213, 1.858,-0.441,-0.174, 0.813, 0.264, 0.434,-0.185, 0.413, 0.282, 2.170,-0.177, 0.259, 0.628,-0.082,-0.056, 0.000;
0.957,8.201,-10.123,1.431,-3.353, 0.397, 0.074, 0.312,0.666,1.332,0.000, 0.015, 0.209, 1.860,-0.408,-0.141, 0.847, 0.231, 0.400,-0.218, 0.412, 0.283, 2.172,-0.178, 0.259, 0.628,-0.081,-0.056, 0.000;
0.968,8.479,-10.038,1.667,-3.226, 0.400, 0.076, 0.312,0.210,0.210,0.000, 0.011, 0.210, 1.867,-0.517,-0.248, 0.953, 0.338, 0.506,-0.325, 0.410, 0.286, 2.179,-0.179, 0.258, 0.628,-0.081,-0.056, 0.000;
0.989,6.982,-10.770,0.036,-3.824, 0.402, 0.080, 0.307,0.103,0.206,-0.224, 0.005, 0.211, 1.886,-0.302,-0.033, 1.172, 0.119, 0.289,-0.544, 0.406, 0.291, 2.192,-0.183, 0.255, 0.628,-0.080,-0.057, 0.000;
1.001,9.904,-10.312,2.667,-3.075, 0.404, 0.085, 0.296,0.188,0.376,-0.891, 0.000, 0.209, 1.904,-0.423, 0.085, 1.291, 0.238, 0.169,-0.662, 0.404, 0.294, 2.200,-0.185, 0.254, 0.628,-0.080,-0.058, 0.000;
1.013,10.461,-12.075,3.041,-4.655, 0.406, 0.087, 0.312,0.190,0.190,1.317,-0.004, 0.210, 1.896,-0.307,-0.034, 1.163, 0.120, 0.287,-0.534, 0.402, 0.297, 2.207,-0.187, 0.253, 0.628,-0.079,-0.059, 0.000;
1.024,9.677,-10.685,2.419,-3.426, 0.408, 0.092, 0.296,0.191,0.383,-1.324,-0.009, 0.209, 1.918,-0.426,-0.152, 1.043, 0.237, 0.403,-0.415, 0.400, 0.300, 2.214,-0.189, 0.251, 0.628,-0.079,-0.059, 0.000;
1.036,7.885,-11.294,0.681,-4.090, 0.411, 0.096, 0.296,0.192,0.384,0.000,-0.013, 0.207, 1.926,-0.311,-0.037, 0.924, 0.121, 0.287,-0.295, 0.398, 0.303, 2.222,-0.190, 0.250, 0.628,-0.079,-0.060, 0.000;
1.047,9.252,-10.901,2.151,-3.800, 0.413, 0.098, 0.296,0.199,0.199,0.000,-0.017, 0.208, 1.933,-0.425, 0.074, 0.808, 0.233, 0.175,-0.180, 0.396, 0.306, 2.229,-0.192, 0.249, 0.628,-0.078,-0.060, 0.000;
1.058,9.581,-12.573,2.580,-5.572, 0.415, 0.103, 0.296,0.199,0.398,0.000,-0.022, 0.206, 1.940,-0.314,-0.041, 0.693, 0.120, 0.288,-0.065, 0.393, 0.309, 2.236,-0.194, 0.247, 0.628,-0.078,-0.061, 0.000;
1.070,8.879,-11.122,1.978,-4.220, 0.417, 0.107, 0.296,0.202,0.405,0.000,-0.026, 0.204, 1.947,-0.427,-0.153, 0.581, 0.231, 0.399, 0.047, 0.391, 0.311, 2.243,-0.196, 0.246, 0.628,-0.077,-0.061, 0.000;
1.080,7.144,-11.677,0.339,-4.872, 0.420, 0.109, 0.296,0.204,0.204,0.000,-0.030, 0.205, 1.954,-0.319,-0.044, 0.471, 0.121, 0.288, 0.157, 0.389, 0.314, 2.250,-0.197, 0.245, 0.628,-0.077,-0.062, 0.000;
1.092,8.512,-11.359,1.801,-4.649, 0.420, 0.114, 0.296,0.000,0.404,0.000,-0.033, 0.203, 1.961,-0.209,-0.157, 0.583, 0.010, 0.400, 0.046, 0.387, 0.317, 2.257,-0.199, 0.243, 0.628,-0.076,-0.063, 0.000;
1.102,7.880,-10.040,1.030,-3.189, 0.422, 0.118, 0.281,0.205,0.409,-1.429,-0.037, 0.201, 1.983,-0.321,-0.049, 0.699, 0.121, 0.290,-0.071, 0.385, 0.319, 2.263,-0.201, 0.242, 0.628,-0.076,-0.063, 0.000;
1.124,8.223,-11.778,1.178,-4.733, 0.424, 0.123, 0.281,0.104,0.208,0.000,-0.044, 0.202, 1.996,-0.540,-0.268, 0.922, 0.336, 0.507,-0.294, 0.380, 0.324, 2.277,-0.204, 0.239, 0.628,-0.075,-0.064, 0.000;
1.135,5.253,-13.039,-2.072,-5.714, 0.424, 0.127, 0.281,0.000,0.390,0.000,-0.046, 0.200, 2.004,-0.424,-0.151, 0.807, 0.219, 0.389,-0.178, 0.378, 0.327, 2.284,-0.206, 0.238, 0.628,-0.075,-0.065, 0.000;
1.147,6.677,-12.592,-0.548,-5.367, 0.426, 0.132, 0.281,0.199,0.397,0.000,-0.051, 0.198, 2.011,-0.314,-0.040, 0.693, 0.106, 0.276,-0.065, 0.376, 0.330, 2.291,-0.207, 0.236, 0.628,-0.074,-0.065, 0.000;
1.158,7.986,-12.241,0.860,-5.114, 0.426, 0.134, 0.281,0.000,0.192,0.000,-0.053, 0.199, 2.018,-0.198, 0.075, 0.576,-0.011, 0.160, 0.052, 0.373, 0.333, 2.299,-0.209, 0.235, 0.628,-0.074,-0.066, 0.000;
1.170,9.481,-11.835,2.455,-4.809, 0.429, 0.138, 0.281,0.190,0.381,0.000,-0.058, 0.197, 2.025,-0.319,-0.045, 0.459, 0.108, 0.278, 0.170, 0.371, 0.335, 2.306,-0.211, 0.233, 0.628,-0.073,-0.066, 0.000;
1.181,7.619,-12.403,0.694,-5.478, 0.429, 0.143, 0.281,0.000,0.397,0.000,-0.060, 0.195, 2.032,-0.207,-0.159, 0.572,-0.005, 0.391, 0.057, 0.369, 0.338, 2.313,-0.212, 0.232, 0.628,-0.073,-0.067, 0.000;
1.192,7.141,-10.964,0.074,-3.897, 0.431, 0.147, 0.285,0.198,0.396,0.407,-0.065, 0.193, 2.035,-0.323,-0.048, 0.457, 0.109, 0.278, 0.171, 0.366, 0.341, 2.320,-0.214, 0.230, 0.628,-0.072,-0.067, 0.000;
