0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000;
0.022,1.883,2.115,1.870,2.128,-0.297, 0.058,-0.014,0.000,0.000,0.000, 0.797,-0.041, 0.014;
0.025,1.925,2.076,1.899,2.102,-0.297, 0.058,-0.029,0.000,0.000,-4.198, 0.796,-0.038, 0.029;
0.037,1.906,2.090,1.893,2.103,-0.297, 0.058,-0.014,0.000,0.000,1.271, 0.796,-0.029, 0.014;
0.058,1.974,2.018,1.947,2.044,-0.297, 0.058,-0.029,0.000,0.000,-0.665, 0.795,-0.013, 0.029;
0.070,1.955,2.030,1.942,2.043,-0.297, 0.058,-0.014,0.000,0.000,1.202, 0.794,-0.003, 0.014;
0.081,2.006,1.974,1.980,2.001,-0.297, 0.058,-0.029,0.000,0.000,-1.246, 0.793, 0.006, 0.029;
0.093,2.022,1.952,1.996,1.979,-0.297, 0.058,-0.029,0.000,0.000,0.000, 0.792, 0.015, 0.029;
0.105,2.037,1.930,2.011,1.956,-0.297, 0.058,-0.029,0.000,0.000,0.000, 0.790, 0.024, 0.029;
0.117,2.053,1.906,2.027,1.932,-0.297, 0.058,-0.029,0.000,0.000,0.000, 0.788, 0.033, 0.029;
0.129,5.912,1.770,5.885,1.796,-0.295, 0.060,-0.029,0.181,0.181,-0.034, 0.784, 0.041, 0.029;
0.142,2.070,1.857,2.043,1.883,-0.295, 0.060,-0.029,0.000,0.000,0.000, 0.782, 0.050, 0.029;
0.154,2.082,1.834,2.056,1.861,-0.295, 0.060,-0.029,0.000,0.000,0.035, 0.780, 0.059, 0.029;
0.166,4.124,3.722,4.098,3.749,-0.292, 0.060,-0.029,0.185,0.000,-0.034, 0.776, 0.068, 0.029;
0.177,2.069,1.815,2.056,1.828,-0.292, 0.060,-0.014,0.000,0.000,1.259, 0.773, 0.077, 0.014;
0.189,6.133,1.643,6.107,1.669,-0.290, 0.062,-0.029,0.189,0.189,-1.210, 0.768, 0.084, 0.029;
0.200,4.209,3.833,4.196,3.847,-0.288, 0.062,-0.014,0.197,0.000,1.244, 0.763, 0.092, 0.014;
0.212,4.216,3.808,4.203,3.822,-0.286, 0.062,-0.014,0.198,0.000,0.000, 0.758, 0.101, 0.014;
0.226,3.698,3.373,3.698,3.373,-0.283, 0.062, 0.000,0.154,0.000,1.001, 0.752, 0.111, 0.000;
0.237,6.292,1.705,6.292,1.705,-0.281, 0.065, 0.000,0.199,0.199,0.000, 0.747, 0.117, 0.000;
0.249,4.161,3.784,4.161,3.784,-0.279, 0.065, 0.000,0.198,0.000,0.000, 0.741, 0.126, 0.000;
0.260,6.329,1.650,6.329,1.650,-0.277, 0.067, 0.000,0.201,0.201,0.000, 0.736, 0.131, 0.000;
0.271,6.288,6.045,6.302,6.031,-0.272, 0.067, 0.014,0.406,0.000,1.320, 0.728, 0.139,-0.014;
0.282,3.968,3.748,3.994,3.721,-0.270, 0.067, 0.029,0.191,0.000,1.206, 0.722, 0.148,-0.029;
0.293,8.414,3.977,8.441,3.950,-0.266, 0.069, 0.029,0.407,0.203,0.038, 0.713, 0.153,-0.029;
0.315,3.004,2.744,3.043,2.705,-0.263, 0.069, 0.043,0.103,0.000,0.640, 0.703, 0.168,-0.043;
0.326,8.148,3.941,8.188,3.901,-0.259, 0.071, 0.043,0.394,0.197,0.055, 0.695, 0.174,-0.043;
0.340,5.280,5.344,5.334,5.290,-0.254, 0.071, 0.058,0.336,0.000,1.088, 0.685, 0.183,-0.058;
0.351,7.821,3.889,7.874,3.835,-0.250, 0.074, 0.058,0.378,0.189,0.000, 0.676, 0.189,-0.058;
0.363,3.822,3.784,3.888,3.718,-0.248, 0.074, 0.072,0.198,0.000,1.281, 0.669, 0.196,-0.072;
0.375,7.546,3.857,7.613,3.791,-0.243, 0.076, 0.072,0.366,0.183,0.000, 0.659, 0.202,-0.072;
0.386,5.602,5.979,5.682,5.900,-0.239, 0.076, 0.087,0.390,0.000,1.257, 0.650, 0.209,-0.087;
0.398,7.957,4.110,8.036,4.031,-0.234, 0.078, 0.087,0.397,0.199,0.000, 0.640, 0.214,-0.087;
0.409,5.423,5.909,5.516,5.816,-0.230, 0.078, 0.101,0.383,0.000,1.231, 0.630, 0.222,-0.101;
0.421,7.454,3.829,7.534,3.749,-0.225, 0.080, 0.087,0.366,0.183,-1.179, 0.620, 0.227,-0.087;
0.433,5.425,5.859,5.518,5.766,-0.221, 0.080, 0.101,0.385,0.000,1.239, 0.610, 0.234,-0.101;
0.445,7.110,8.177,7.218,8.070,-0.214, 0.080, 0.117,0.577,0.000,1.380, 0.597, 0.241,-0.117;
0.456,7.881,4.198,7.987,4.092,-0.210, 0.083, 0.115,0.405,0.202,-0.153, 0.587, 0.246,-0.115;
0.467,5.411,6.163,5.530,6.044,-0.205, 0.083, 0.130,0.407,0.000,1.302, 0.577, 0.252,-0.130;
0.479,8.851,5.948,8.959,5.841,-0.199, 0.085, 0.117,0.541,0.180,-1.017, 0.564, 0.257,-0.117;
0.490,5.378,6.099,5.499,5.978,-0.194, 0.085, 0.132,0.408,0.000,1.324, 0.553, 0.263,-0.132;
0.501,7.791,4.169,7.910,4.050,-0.190, 0.087, 0.130,0.407,0.203,-0.172, 0.543, 0.267,-0.130;
0.523,5.702,3.765,5.810,3.658,-0.183, 0.089, 0.117,0.308,0.103,-0.578, 0.524, 0.277,-0.117;
0.534,5.081,5.628,5.202,5.507,-0.179, 0.089, 0.132,0.381,0.000,1.236, 0.512, 0.283,-0.132;
0.547,6.364,7.516,6.498,7.382,-0.172, 0.089, 0.146,0.535,0.000,1.152, 0.498, 0.289,-0.146;
0.559,7.252,3.762,7.373,3.641,-0.167, 0.092, 0.132,0.376,0.188,-1.216, 0.487, 0.293,-0.132;
0.570,6.750,7.993,6.884,7.859,-0.161, 0.092, 0.146,0.581,0.000,1.253, 0.473, 0.299,-0.146;
0.575,20.142,13.569,20.262,13.448,-0.154, 0.094, 0.132,1.417,0.472,-3.052, 0.464, 0.299,-0.132;
0.587,4.866,5.441,5.000,5.307,-0.150, 0.094, 0.146,0.377,0.000,1.217, 0.452, 0.305,-0.146;
0.608,5.548,3.555,5.669,3.434,-0.143, 0.096, 0.132,0.310,0.103,-0.668, 0.431, 0.312,-0.132;
0.620,6.493,7.568,6.627,7.434,-0.136, 0.096, 0.146,0.562,0.000,1.211, 0.417, 0.318,-0.146;
0.632,7.098,3.601,7.232,3.467,-0.132, 0.098, 0.146,0.378,0.189,0.000, 0.405, 0.321,-0.146;
0.644,9.046,5.844,9.167,5.724,-0.125, 0.100, 0.132,0.582,0.194,-1.253, 0.390, 0.323,-0.132;
0.656,6.368,7.359,6.502,7.225,-0.118, 0.100, 0.146,0.556,0.000,1.198, 0.376, 0.328,-0.146;
0.667,8.924,5.725,9.046,5.602,-0.112, 0.103, 0.134,0.577,0.192,-1.076, 0.361, 0.331,-0.134;
0.679,6.626,7.716,6.762,7.580,-0.105, 0.103, 0.148,0.592,0.000,1.294, 0.347, 0.335,-0.148;
0.690,9.028,5.739,9.151,5.616,-0.098, 0.105, 0.134,0.589,0.196,-1.287, 0.332, 0.337,-0.134;
0.702,4.735,5.116,4.869,4.982,-0.094, 0.105, 0.146,0.386,0.000,1.079, 0.320, 0.341,-0.146;
0.713,9.235,5.800,9.355,5.679,-0.087, 0.107, 0.132,0.607,0.202,-1.309, 0.305, 0.343,-0.132;
0.724,6.556,7.574,6.692,7.438,-0.080, 0.107, 0.148,0.596,0.000,1.474, 0.290, 0.347,-0.148;
0.736,8.430,5.222,8.553,5.099,-0.074, 0.109, 0.134,0.551,0.184,-1.205, 0.275, 0.348,-0.134;
0.747,6.703,7.755,6.839,7.619,-0.067, 0.109, 0.148,0.618,0.000,1.351, 0.261, 0.352,-0.148;
0.758,9.019,5.571,9.141,5.449,-0.060, 0.112, 0.134,0.601,0.200,-1.312, 0.246, 0.353,-0.134;
0.770,5.914,6.676,6.050,6.540,-0.054, 0.112, 0.148,0.537,0.000,1.174, 0.230, 0.356,-0.148;
0.792,5.182,2.901,5.307,2.776,-0.047, 0.114, 0.136,0.314,0.105,-0.593, 0.208, 0.360,-0.136;
0.804,4.260,4.419,4.396,4.283,-0.042, 0.114, 0.148,0.360,0.000,1.019, 0.194, 0.363,-0.148;
0.816,8.485,5.089,8.608,4.967,-0.036, 0.116, 0.134,0.570,0.190,-1.245, 0.178, 0.363,-0.134;
0.827,6.199,7.024,6.335,6.888,-0.029, 0.116, 0.148,0.583,0.000,1.273, 0.163, 0.366,-0.148;
0.839,8.421,4.998,8.544,4.875,-0.022, 0.118, 0.134,0.570,0.190,-1.245, 0.147, 0.366,-0.134;
0.851,5.783,6.458,5.920,6.322,-0.016, 0.118, 0.148,0.544,0.000,1.188, 0.131, 0.368,-0.148;
0.865,7.365,4.249,7.489,4.124,-0.009, 0.121, 0.136,0.495,0.165,-0.934, 0.114, 0.368,-0.136;
0.870,13.541,16.892,13.677,16.756,-0.002, 0.121, 0.148,1.412,0.000,2.664, 0.104, 0.369,-0.148;
0.881,6.272,7.156,6.410,7.018, 0.004, 0.121, 0.150,0.610,0.000,0.202, 0.089, 0.371,-0.150;
0.903,4.721,2.470,4.859,2.332, 0.011, 0.123, 0.150,0.305,0.102,0.000, 0.065, 0.371,-0.150;
0.908,12.760,15.963,12.898,15.825, 0.018, 0.123, 0.150,1.343,0.000,0.000, 0.054, 0.372,-0.150;
0.917,7.913,3.273,8.049,3.137, 0.022, 0.125, 0.148,0.479,0.240,-0.237, 0.043, 0.371,-0.148;
0.929,5.749,6.420,5.885,6.284, 0.029, 0.125, 0.148,0.565,0.000,0.000, 0.027, 0.372,-0.148;
0.950,4.719,2.288,4.843,2.164, 0.036, 0.127, 0.136,0.312,0.104,-0.589, 0.003, 0.371,-0.136;
0.954,16.333,20.724,16.471,20.586, 0.042, 0.127, 0.150,1.752,0.000,3.885,-0.006, 0.371,-0.150;
0.975,4.832,2.329,4.956,2.205, 0.049, 0.129, 0.136,0.327,0.109,-0.724,-0.029, 0.370,-0.136;
0.987,5.366,5.944,5.504,5.806, 0.056, 0.129, 0.150,0.542,0.000,1.201,-0.046, 0.370,-0.150;
0.999,7.970,4.444,8.095,4.319, 0.062, 0.132, 0.136,0.572,0.191,-1.267,-0.061, 0.368,-0.136;
1.010,5.487,6.157,5.627,6.017, 0.069, 0.132, 0.153,0.566,0.000,1.446,-0.077, 0.368,-0.153;
1.023,7.433,4.067,7.560,3.940, 0.076, 0.134, 0.138,0.538,0.179,-1.209,-0.094, 0.366,-0.138;
1.037,4.749,4.994,4.875,4.868, 0.083, 0.134, 0.138,0.484,0.000,0.000,-0.111, 0.365,-0.138;
1.049,6.051,1.970,6.175,1.846, 0.087, 0.136, 0.136,0.379,0.190,-0.175,-0.125, 0.362,-0.136;
1.060,5.620,6.138,5.744,6.013, 0.094, 0.136, 0.136,0.586,0.000,0.000,-0.141, 0.362,-0.136;
1.072,7.544,4.081,7.671,3.955, 0.100, 0.138, 0.138,0.558,0.186,0.172,-0.157, 0.358,-0.138;
1.085,5.017,5.399,5.143,5.272, 0.107, 0.138, 0.138,0.530,0.000,0.000,-0.173, 0.357,-0.138;
1.097,4.805,5.310,4.945,5.170, 0.114, 0.138, 0.153,0.520,0.000,1.170,-0.190, 0.356,-0.153;
1.109,7.403,3.951,7.529,3.825, 0.121, 0.141, 0.138,0.557,0.186,-1.253,-0.206, 0.352,-0.138;
1.122,3.386,3.267,3.511,3.143, 0.125, 0.141, 0.136,0.364,0.000,-0.168,-0.220, 0.350,-0.136;
1.134,7.364,3.899,7.491,3.772, 0.132, 0.143, 0.138,0.560,0.187,0.172,-0.236, 0.346,-0.138;
1.145,5.220,5.743,5.346,5.617, 0.138, 0.143, 0.138,0.575,0.000,0.000,-0.252, 0.344,-0.138;
1.157,5.253,5.796,5.379,5.670, 0.145, 0.143, 0.138,0.583,0.000,0.000,-0.267, 0.342,-0.138;
1.168,7.501,3.962,7.627,3.836, 0.152, 0.145, 0.138,0.580,0.193,0.000,-0.282, 0.338,-0.138;
1.180,4.929,5.630,5.072,5.488, 0.158, 0.145, 0.155,0.568,0.000,1.477,-0.298, 0.335,-0.155;
1.192,7.233,3.795,7.362,3.667, 0.165, 0.147, 0.140,0.567,0.189,-1.295,-0.314, 0.330,-0.140;
1.204,3.122,3.066,3.248,2.939, 0.170, 0.147, 0.138,0.368,0.000,-0.175,-0.327, 0.327,-0.138;
