0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000;
0.012,1.049,0.834,1.049,0.834,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.547, 0.043, 0.000;
0.023,1.063,0.819,1.063,0.819,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.547, 0.052, 0.000;
0.035,1.077,0.804,1.077,0.804,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.546, 0.061, 0.000;
0.046,1.091,0.789,1.091,0.789,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.546, 0.069, 0.000;
0.057,1.104,0.773,1.104,0.773,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.545, 0.078, 0.000;
0.068,1.116,0.758,1.116,0.758,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.544, 0.087, 0.000;
0.079,1.129,0.742,1.129,0.742,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.543, 0.096, 0.000;
0.090,1.141,0.726,1.141,0.726,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.542, 0.104, 0.000;
0.112,1.163,0.695,1.163,0.695,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.539, 0.121, 0.000;
0.123,1.175,0.678,1.175,0.678,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.538, 0.130, 0.000;
0.134,1.186,0.661,1.186,0.661,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.536, 0.138, 0.000;
0.146,1.197,0.644,1.197,0.644,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.534, 0.147, 0.000;
0.158,1.209,0.625,1.209,0.625,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.532, 0.156, 0.000;
0.169,1.219,0.607,1.219,0.607,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.529, 0.165, 0.000;
0.182,1.230,0.588,1.230,0.588,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.527, 0.174, 0.000;
0.193,1.240,0.569,1.240,0.569,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.524, 0.183, 0.000;
0.205,1.250,0.550,1.250,0.550,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.521, 0.192, 0.000;
0.216,1.259,0.532,1.259,0.532,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.518, 0.200, 0.000;
0.228,1.267,0.514,1.267,0.514,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.515, 0.208, 0.000;
0.239,1.275,0.496,1.275,0.496,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.512, 0.216, 0.000;
0.250,1.283,0.477,1.283,0.477,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.509, 0.225, 0.000;
0.271,1.297,0.441,1.297,0.441,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.502, 0.240, 0.000;
0.283,1.304,0.422,1.304,0.422,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.498, 0.248, 0.000;
0.295,1.312,0.400,1.312,0.400,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.494, 0.257, 0.000;
0.306,1.318,0.381,1.318,0.381,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.490, 0.265, 0.000;
0.318,1.324,0.361,1.324,0.361,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.486, 0.273, 0.000;
0.330,1.330,0.340,1.330,0.340,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.481, 0.281, 0.000;
0.342,1.335,0.320,1.335,0.320,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.477, 0.289, 0.000;
0.353,1.340,0.300,1.340,0.300,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.472, 0.297, 0.000;
0.364,1.345,0.280,1.345,0.280,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.467, 0.304, 0.000;
0.376,1.349,0.260,1.349,0.260,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.462, 0.312, 0.000;
0.386,1.352,0.241,1.352,0.241,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.458, 0.319, 0.000;
0.398,1.356,0.221,1.356,0.221,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.452, 0.326, 0.000;
0.409,1.359,0.200,1.359,0.200,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.447, 0.333, 0.000;
0.420,1.362,0.181,1.362,0.181,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.442, 0.340, 0.000;
0.441,1.366,0.142,1.366,0.142,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.431, 0.353, 0.000;
0.453,1.367,0.122,1.367,0.122,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.426, 0.360, 0.000;
0.465,1.369,0.101,1.369,0.101,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.420, 0.367, 0.000;
0.476,1.370,0.081,1.370,0.081,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.414, 0.373, 0.000;
0.488,1.370,0.059,1.370,0.059,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.407, 0.380, 0.000;
0.499,1.371,0.038,1.371,0.038,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.401, 0.387, 0.000;
0.511,1.370,0.017,1.370,0.017,-0.047,-0.033, 0.000,0.000,0.000,0.000, 0.394, 0.393, 0.000;
