0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.009,-0.027,-0.140,-0.027,-0.140,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.446, 0.975,-0.002, 0.314, 0.628,-1.486, 0.311, 0.411, 0.500, 0.003, 1.577,-0.002, 0.314, 0.628,-0.099,-0.001, 0.000;
0.013,2.956,61.753,-0.810,65.518,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.445, 0.978,-0.003, 0.314, 0.628,-1.993, 0.427, 0.572, 0.500, 0.004, 1.579,-0.003, 0.314, 0.628,-0.099,-0.001, 0.000;
0.018,2.993,61.736,-0.780,65.510,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.443, 0.981,-0.004, 0.314, 0.628,-2.608, 0.573, 0.778, 0.500, 0.006, 1.582,-0.004, 0.314, 0.628,-0.099,-0.001, 0.000;
0.025,3.044,61.715,-0.741,65.499,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.441, 0.985,-0.005, 0.314, 0.628,-3.285, 0.743, 1.022, 0.500, 0.008, 1.587,-0.005, 0.314, 0.628,-0.099,-0.002, 0.000;
0.031,3.107,61.687,-0.691,65.485,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.439, 0.989,-0.006, 0.314, 0.628,-3.829, 0.888, 1.236, 0.500, 0.010, 1.590,-0.006, 0.314, 0.628,-0.099,-0.002, 0.000;
0.038,3.167,61.661,-0.643,65.471,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.437, 0.993,-0.007, 0.314, 0.628,-4.290, 1.020, 1.435, 0.500, 0.012, 1.594,-0.007, 0.314, 0.628,-0.099,-0.002, 0.000;
0.044,3.226,61.634,-0.596,65.457,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.435, 0.997,-0.009, 0.314, 0.628,-4.674, 1.137, 1.615, 0.500, 0.014, 1.598,-0.009, 0.314, 0.628,-0.099,-0.003, 0.000;
0.050,3.285,61.608,-0.550,65.443,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.433, 1.001,-0.010, 0.314, 0.628,-5.014, 1.248, 1.788, 0.500, 0.016, 1.602,-0.010, 0.314, 0.628,-0.099,-0.003, 0.000;
0.056,3.345,61.581,-0.503,65.428,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.431, 1.005,-0.011, 0.314, 0.628,-5.297, 1.347, 1.944, 0.500, 0.018, 1.606,-0.011, 0.314, 0.628,-0.099,-0.003, 0.000;
0.063,3.404,61.553,-0.456,65.414,-1.683, 0.449, 0.601,0.000,0.000,0.000, 2.183,-0.429, 1.009,-0.012, 0.314, 0.628,-5.551, 1.444, 2.098, 0.500, 0.020, 1.610,-0.012, 0.314, 0.628,-0.099,-0.004, 0.000;
