0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.012,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.074, 0.043,-0.176,-0.152, 0.833, 0.522, 0.137,-0.048, 1.049;
0.024,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.073, 0.053,-0.156,-0.292, 0.880,-0.359, 0.262,-0.095, 1.930;
0.036,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.073, 0.062,-0.138,-0.408, 0.921,-1.025, 0.364,-0.137, 2.595;
0.049,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.072, 0.072,-0.117,-0.536, 0.969,-1.691, 0.475,-0.186, 3.262;
0.061,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.071, 0.082,-0.098,-0.634, 0.926,-2.142, 0.559,-0.144, 3.713;
0.073,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.070, 0.091,-0.080,-0.725, 0.883,-2.511, 0.635,-0.102, 4.082;
0.086,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.069, 0.100,-0.060,-0.812, 0.837,-2.826, 0.707,-0.059, 4.397;
0.098,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.068, 0.110,-0.040,-0.893, 0.790,-3.079, 0.772,-0.014, 4.650;
0.111,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.066, 0.120,-0.021,-0.965, 0.831,-3.273, 0.829,-0.058, 4.844;
0.122,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.065, 0.129,-0.003,-1.027, 0.789,-3.413, 0.878,-0.018, 4.984;
0.134,2.119,0.520,0.520,2.119, 0.426,-0.033, 1.765,0.000,0.000,0.000, 0.063, 0.138, 0.016,-1.089, 0.828,-3.528, 0.924,-0.060, 5.099;
