0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000;
0.013,-1.980,-1.169,-1.980,-1.169,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.616, 0.140, 2.155;
0.018,-1.988,-1.161,-1.988,-1.161,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.616, 0.143, 2.155;
0.028,-2.004,-1.144,-2.004,-1.144,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.616, 0.150, 2.155;
0.040,-2.021,-1.125,-2.021,-1.125,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.615, 0.157, 2.155;
0.061,-2.052,-1.090,-2.052,-1.090,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.615, 0.170, 2.155;
0.074,-2.070,-1.069,-2.070,-1.069,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.614, 0.178, 2.155;
0.085,-2.086,-1.049,-2.086,-1.049,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.613, 0.185, 2.155;
0.097,-2.102,-1.029,-2.102,-1.029,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.612, 0.193, 2.155;
0.109,-2.117,-1.009,-2.117,-1.009,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.611, 0.200, 2.155;
0.121,-2.134,-0.987,-2.134,-0.987,-0.116,-0.132,-0.898,0.000,0.000,0.000, 0.610, 0.207, 2.155;
0.132,-3.788,0.426,-3.788,0.426,-0.116,-0.129,-0.907,0.000,0.201,-0.805, 0.609, 0.212, 2.164;
0.144,-2.326,-1.028,-2.326,-1.028,-0.116,-0.129,-0.907,0.000,0.000,0.000, 0.608, 0.219, 2.164;
0.155,-2.341,-1.006,-2.341,-1.006,-0.116,-0.129,-0.907,0.000,0.000,0.000, 0.607, 0.226, 2.164;
0.166,-0.738,0.404,-0.738,0.404,-0.118,-0.129,-0.887,-0.201,0.000,1.817, 0.607, 0.233, 2.144;
0.177,-2.203,-0.899,-2.203,-0.899,-0.118,-0.129,-0.898,0.000,0.000,-1.033, 0.606, 0.240, 2.155;
0.189,-0.846,0.360,-0.846,0.360,-0.121,-0.129,-0.887,-0.189,0.000,0.949, 0.606, 0.247, 2.144;
0.200,-3.618,0.518,-3.618,0.518,-0.121,-0.127,-0.898,0.000,0.204,-1.027, 0.605, 0.252, 2.155;
0.211,-0.852,0.541,-0.852,0.541,-0.123,-0.127,-0.898,-0.205,0.000,0.000, 0.605, 0.258, 2.155;
0.233,-1.421,-0.109,-1.421,-0.109,-0.125,-0.127,-0.887,-0.103,0.000,0.517, 0.604, 0.271, 2.144;
0.244,-2.290,1.815,-2.290,1.815,-0.127,-0.125,-0.898,-0.193,0.193,-0.971, 0.604, 0.276, 2.155;
0.256,-1.002,0.511,-1.002,0.511,-0.129,-0.125,-0.898,-0.192,0.000,0.000, 0.604, 0.283, 2.155;
0.267,-2.318,1.916,-2.318,1.916,-0.132,-0.123,-0.898,-0.199,0.199,0.000, 0.604, 0.287, 2.155;
0.278,0.335,1.742,0.335,1.742,-0.136,-0.123,-0.887,-0.399,0.000,1.003, 0.606, 0.294, 2.144;
0.289,-2.119,1.767,-2.119,1.767,-0.138,-0.121,-0.887,-0.201,0.201,0.000, 0.606, 0.298, 2.144;
0.300,-0.973,0.644,-0.973,0.644,-0.141,-0.121,-0.898,-0.205,0.000,-1.032, 0.605, 0.305, 2.155;
0.311,0.341,1.822,0.341,1.822,-0.145,-0.121,-0.887,-0.407,0.000,1.023, 0.607, 0.311, 2.144;
0.322,-2.401,2.038,-2.401,2.038,-0.147,-0.118,-0.898,-0.204,0.204,-1.025, 0.607, 0.315, 2.155;
0.333,0.310,1.836,0.310,1.836,-0.152,-0.118,-0.887,-0.406,0.000,1.022, 0.609, 0.322, 2.144;
0.354,-2.438,0.736,-2.438,0.736,-0.154,-0.116,-0.898,-0.105,0.105,-0.529, 0.605, 0.331, 2.155;
0.366,0.157,1.755,0.157,1.755,-0.158,-0.116,-0.887,-0.387,0.000,0.973, 0.607, 0.338, 2.144;
0.378,-1.062,0.568,-1.062,0.568,-0.161,-0.116,-0.887,-0.190,0.000,0.000, 0.605, 0.344, 2.144;
0.389,-1.031,3.034,-1.031,3.034,-0.165,-0.114,-0.887,-0.395,0.197,0.000, 0.607, 0.349, 2.144;
0.400,-1.056,0.618,-1.056,0.618,-0.167,-0.114,-0.887,-0.195,0.000,0.000, 0.605, 0.355, 2.144;
0.414,-0.196,1.169,-0.196,1.169,-0.172,-0.114,-0.867,-0.331,0.000,1.498, 0.606, 0.362, 2.123;
0.426,-1.031,0.549,-1.031,0.549,-0.174,-0.114,-0.878,-0.188,0.000,-0.932, 0.604, 0.369, 2.135;
0.437,-1.013,0.591,-1.013,0.591,-0.176,-0.114,-0.878,-0.193,0.000,0.000, 0.603, 0.375, 2.135;
0.449,0.027,1.460,0.027,1.460,-0.181,-0.114,-0.867,-0.383,0.000,0.949, 0.603, 0.381, 2.123;
